indicador,pais,anio,valor
NY.GDP.PCAP.KD,CHL,2013,13182.7329619856
NY.GDP.PCAP.KD,CHL,2012,12882.834417927
NY.GDP.PCAP.KD,CHL,2011,12252.8441074615
NY.GDP.PCAP.KD,CHL,2010,11649.2897090856
NY.GDP.PCAP.KD,CHL,2009,11116.4093443103
NY.GDP.PCAP.KD,CHL,2008,11356.0922105983
NY.GDP.PCAP.KD,CHL,2007,11051.3450717678
NY.GDP.PCAP.KD,CHL,2006,10611.6144012877
NY.GDP.PCAP.KD,CHL,2005,10104.4208391373
NY.GDP.PCAP.KD,CHL,2004,9642.37478651228
NY.GDP.PCAP.KD,CHL,2003,9130.7842621819
NY.GDP.PCAP.KD,CHL,2002,8810.69052712257
NY.GDP.PCAP.KD,CHL,2001,8632.0148244056
NY.GDP.PCAP.KD,CHL,2000,8465.35303258864
NY.GDP.PCAP.KD,CHL,1999,8161.45168872186
NY.GDP.PCAP.KD,CHL,1998,8287.45061096547
NY.GDP.PCAP.KD,CHL,1997,8058.94228801535
NY.GDP.PCAP.KD,CHL,1996,7605.28953010603
NY.GDP.PCAP.KD,CHL,1995,7201.13100361441
NY.GDP.PCAP.KD,CHL,1994,6688.29717704707
NY.GDP.PCAP.KD,CHL,1993,6461.73217350303
NY.GDP.PCAP.KD,CHL,1992,6151.76546454326
NY.GDP.PCAP.KD,CHL,1991,5606.86557277047
NY.GDP.PCAP.KD,CHL,1990,5290.53694835535
NY.GDP.PCAP.KD,CHN,2025,13793.2056196996
NY.GDP.PCAP.KD,CHN,2024,13119.1076099516
NY.GDP.PCAP.KD,CHN,2023,12483.9791101249
NY.GDP.PCAP.KD,CHN,2022,11830.298767861
NY.GDP.PCAP.KD,CHN,2021,11469.3174514512
NY.GDP.PCAP.KD,CHN,2020,10573.3794064211
NY.GDP.PCAP.KD,CHN,2019,10356.2924890582
NY.GDP.PCAP.KD,CHN,2018,9798.57890566402
NY.GDP.PCAP.KD,CHN,2017,9221.35045639842
NY.GDP.PCAP.KD,CHN,2016,8679.22528805041
NY.GDP.PCAP.KD,CHN,2015,8175.33285077393
NY.GDP.PCAP.KD,CHN,2014,7686.37369520403
NY.GDP.PCAP.KD,CHN,2013,7197.937319496
NY.GDP.PCAP.KD,CHN,2012,6723.09003744607
NY.GDP.PCAP.KD,CHN,2011,6275.71634288814
NY.GDP.PCAP.KD,CHN,2010,5764.65012366375
NY.GDP.PCAP.KD,CHN,2009,5237.78809982377
NY.GDP.PCAP.KD,CHN,2008,4811.34486346262
NY.GDP.PCAP.KD,CHN,2007,4409.69709445986
NY.GDP.PCAP.KD,CHN,2006,3883.27464370816
NY.GDP.PCAP.KD,CHN,2005,3465.72767067642
NY.GDP.PCAP.KD,CHN,2004,3127.91444892337
NY.GDP.PCAP.KD,CHN,2003,2856.85053293219
NY.GDP.PCAP.KD,CHN,2002,2610.66275070444
NY.GDP.PCAP.KD,CHN,2001,2405.99411858042
NY.GDP.PCAP.KD,CHN,2000,2237.30047918692
NY.GDP.PCAP.KD,CHN,1999,2076.93180259914
NY.GDP.PCAP.KD,CHN,1998,1944.46718626424
NY.GDP.PCAP.KD,CHN,1997,1819.07954081306
NY.GDP.PCAP.KD,CHN,1996,1681.45741269443
NY.GDP.PCAP.KD,CHN,1995,1545.07897848105
NY.GDP.PCAP.KD,CHN,1994,1406.97393365064
NY.GDP.PCAP.KD,CHN,1993,1258.34142676619
NY.GDP.PCAP.KD,CHN,1992,1117.29533882968
NY.GDP.PCAP.KD,CHN,1991,989.585278674846
NY.GDP.PCAP.KD,CHN,1990,917.187887177205
NY.GDP.PCAP.KD,EMU,2025,38166.9810117283
NY.GDP.PCAP.KD,EMU,2024,37747.5762546902
NY.GDP.PCAP.KD,EMU,2023,37542.8850711276
NY.GDP.PCAP.KD,EMU,2022,37533.5524037551
NY.GDP.PCAP.KD,EMU,2021,36304.0120488212
NY.GDP.PCAP.KD,EMU,2020,34123.5966842683
NY.GDP.PCAP.KD,EMU,2019,36362.1610606018
NY.GDP.PCAP.KD,EMU,2018,35860.4204802822
NY.GDP.PCAP.KD,EMU,2017,35301.6485495203
NY.GDP.PCAP.KD,EMU,2016,34456.7787485334
NY.GDP.PCAP.KD,EMU,2015,33928.614137702
NY.GDP.PCAP.KD,EMU,2014,33296.8666974398
NY.GDP.PCAP.KD,EMU,2013,32867.052177107
NY.GDP.PCAP.KD,EMU,2012,32959.6032104989
NY.GDP.PCAP.KD,EMU,2011,33329.674600975
NY.GDP.PCAP.KD,EMU,2010,32682.9836342241
NY.GDP.PCAP.KD,EMU,2009,32081.0242521645
NY.GDP.PCAP.KD,EMU,2008,33692.5979697593
NY.GDP.PCAP.KD,EMU,2007,33707.163004223
NY.GDP.PCAP.KD,EMU,2006,32882.2025430207
NY.GDP.PCAP.KD,EMU,2005,31964.0968987768
NY.GDP.PCAP.KD,EMU,2004,31559.0180212487
NY.GDP.PCAP.KD,EMU,2003,31005.4460255685
NY.GDP.PCAP.KD,EMU,2002,30929.8173201796
NY.GDP.PCAP.KD,EMU,2001,30766.5726970873
NY.GDP.PCAP.KD,EMU,2000,30189.3008380116
NY.GDP.PCAP.KD,EMU,1999,29139.536317049
NY.GDP.PCAP.KD,EMU,1998,28363.3111829819
NY.GDP.PCAP.KD,EMU,1997,27587.4174333603
NY.GDP.PCAP.KD,EMU,1996,26918.8439846116
NY.GDP.PCAP.KD,EMU,1995,26511.6954677809
NY.GDP.PCAP.KD,EMU,1994,25931.0075197904
NY.GDP.PCAP.KD,EMU,1993,25367.9826148327
NY.GDP.PCAP.KD,EMU,1992,25640.1169009215
NY.GDP.PCAP.KD,EMU,1991,25461.2532464194
NY.GDP.PCAP.KD,EMU,1990,24980.5136043699
NY.GDP.PCAP.KD,GBR,2025,48422.0671236369
NY.GDP.PCAP.KD,GBR,2024,47900.9680144146
NY.GDP.PCAP.KD,GBR,2023,47911.1540134832
NY.GDP.PCAP.KD,GBR,2022,48410.095170282
NY.GDP.PCAP.KD,GBR,2021,46491.5068836685
NY.GDP.PCAP.KD,GBR,2020,42985.0392148248
NY.GDP.PCAP.KD,GBR,2019,47866.9140354078
NY.GDP.PCAP.KD,GBR,2018,47516.2099770322
NY.GDP.PCAP.KD,GBR,2017,47019.4510419999
NY.GDP.PCAP.KD,GBR,2016,45888.7099614563
NY.GDP.PCAP.KD,GBR,2015,45256.040227057
NY.GDP.PCAP.KD,GBR,2014,44628.5724578217
NY.GDP.PCAP.KD,GBR,2013,43585.8731772281
NY.GDP.PCAP.KD,GBR,2012,43136.7006795996
NY.GDP.PCAP.KD,GBR,2011,42791.0934313474
NY.GDP.PCAP.KD,GBR,2010,42762.720840223
NY.GDP.PCAP.KD,GBR,2009,42146.5095879962
NY.GDP.PCAP.KD,GBR,2008,44508.2874631479
NY.GDP.PCAP.KD,GBR,2007,44882.141312304
NY.GDP.PCAP.KD,GBR,2006,43944.9985799069
NY.GDP.PCAP.KD,GBR,2005,43320.5628684438
NY.GDP.PCAP.KD,GBR,2004,42434.8209023638
NY.GDP.PCAP.KD,GBR,2003,41706.8303930126
NY.GDP.PCAP.KD,GBR,2002,40594.932929345
NY.GDP.PCAP.KD,GBR,2001,40082.1359356822
NY.GDP.PCAP.KD,GBR,2000,39297.1366317267
NY.GDP.PCAP.KD,GBR,1999,37730.7155591161
NY.GDP.PCAP.KD,GBR,1998,36773.9287790406
NY.GDP.PCAP.KD,GBR,1997,35721.6105928791
NY.GDP.PCAP.KD,GBR,1996,34147.3459054033
NY.GDP.PCAP.KD,GBR,1995,33362.0161272507
NY.GDP.PCAP.KD,GBR,1994,32308.7952722115
NY.GDP.PCAP.KD,GBR,1993,30862.4118121654
NY.GDP.PCAP.KD,GBR,1992,29893.0776793743
NY.GDP.PCAP.KD,GBR,1991,29590.9054053428
NY.GDP.PCAP.KD,GBR,1990,30071.2085616955
NY.GDP.PCAP.KD,IND,2025,2523.43601851376
NY.GDP.PCAP.KD,IND,2024,2366.8328910323
NY.GDP.PCAP.KD,IND,2023,2229.71491223037
NY.GDP.PCAP.KD,IND,2022,2098.21124476122
NY.GDP.PCAP.KD,IND,2021,1965.30943437472
NY.GDP.PCAP.KD,IND,2020,1806.50110583865
NY.GDP.PCAP.KD,IND,2019,1936.03067741063
NY.GDP.PCAP.KD,IND,2018,1883.35772705055
NY.GDP.PCAP.KD,IND,2017,1788.69770318481
NY.GDP.PCAP.KD,IND,2016,1694.46534973787
NY.GDP.PCAP.KD,IND,2015,1583.99815907985
NY.GDP.PCAP.KD,IND,2014,1484.31640682961
NY.GDP.PCAP.KD,IND,2013,1399.4537980281
NY.GDP.PCAP.KD,IND,2012,1333.09626557649
NY.GDP.PCAP.KD,IND,2011,1281.61054354937
NY.GDP.PCAP.KD,IND,2010,1235.15939132939
NY.GDP.PCAP.KD,IND,2009,1155.10163273817
NY.GDP.PCAP.KD,IND,2008,1086.50605251005
NY.GDP.PCAP.KD,IND,2007,1069.24696812234
NY.GDP.PCAP.KD,IND,2006,1008.23275344818
NY.GDP.PCAP.KD,IND,2005,947.732565644272
NY.GDP.PCAP.KD,IND,2004,892.596614580718
NY.GDP.PCAP.KD,IND,2003,841.278894562408
NY.GDP.PCAP.KD,IND,2002,793.615912901002
NY.GDP.PCAP.KD,IND,2001,778.507377522499
NY.GDP.PCAP.KD,IND,2000,756.704109533187
NY.GDP.PCAP.KD,IND,1999,742.53920839812
NY.GDP.PCAP.KD,IND,1998,695.293709337082
NY.GDP.PCAP.KD,IND,1997,667.598423093399
NY.GDP.PCAP.KD,IND,1996,654.355928434052
NY.GDP.PCAP.KD,IND,1995,620.699954336366
NY.GDP.PCAP.KD,IND,1994,588.727892180632
NY.GDP.PCAP.KD,IND,1993,563.372872336747
NY.GDP.PCAP.KD,IND,1992,549.235069964895
NY.GDP.PCAP.KD,IND,1991,531.898397833351
NY.GDP.PCAP.KD,IND,1990,537.870269536103
NY.GDP.PCAP.KD,JPN,2025,38619.3367073485
NY.GDP.PCAP.KD,JPN,2024,37976.6371788298
NY.GDP.PCAP.KD,JPN,2023,37902.5492204411
NY.GDP.PCAP.KD,JPN,2022,37448.3504824849
NY.GDP.PCAP.KD,JPN,2021,36792.556429474
NY.GDP.PCAP.KD,JPN,2020,35363.2996951789
NY.GDP.PCAP.KD,JPN,2019,36837.2583653113
NY.GDP.PCAP.KD,JPN,2018,36899.3847079435
NY.GDP.PCAP.KD,JPN,2017,36547.7357437305
NY.GDP.PCAP.KD,JPN,2016,35934.4467886662
NY.GDP.PCAP.KD,JPN,2015,35664.6446110613
NY.GDP.PCAP.KD,JPN,2014,34996.8796756631
NY.GDP.PCAP.KD,JPN,2013,34636.6924746166
NY.GDP.PCAP.KD,JPN,2012,33909.4911855243
NY.GDP.PCAP.KD,JPN,2011,33306.1802259719
NY.GDP.PCAP.KD,JPN,2010,33311.2872381879
NY.GDP.PCAP.KD,JPN,2009,31993.8588053706
NY.GDP.PCAP.KD,JPN,2008,34008.5915147362
NY.GDP.PCAP.KD,JPN,2007,34426.6937124867
NY.GDP.PCAP.KD,JPN,2006,33880.6890093456
NY.GDP.PCAP.KD,JPN,2005,33385.9179590327
NY.GDP.PCAP.KD,JPN,2004,32783.1292835489
NY.GDP.PCAP.KD,JPN,2003,32115.5810785373
NY.GDP.PCAP.KD,JPN,2002,31746.2430105713
NY.GDP.PCAP.KD,JPN,2001,31793.1269485489
NY.GDP.PCAP.KD,JPN,2000,31779.3788459032
NY.GDP.PCAP.KD,JPN,1999,30911.9243180534
NY.GDP.PCAP.KD,JPN,1998,31076.4386626557
NY.GDP.PCAP.KD,JPN,1997,31723.3382538425
NY.GDP.PCAP.KD,JPN,1996,31371.432405964
NY.GDP.PCAP.KD,JPN,1995,30504.5332529005
NY.GDP.PCAP.KD,JPN,1994,29876.454752764
NY.GDP.PCAP.KD,JPN,1993,29665.3871017287
NY.GDP.PCAP.KD,JPN,1992,29916.6529957081
NY.GDP.PCAP.KD,JPN,1991,29775.391651584
NY.GDP.PCAP.KD,JPN,1990,28904.7658863073
NY.GDP.PCAP.KD,MEX,2025,10256.6867661121
NY.GDP.PCAP.KD,MEX,2024,10284.0336925726
NY.GDP.PCAP.KD,MEX,2023,10234.6840265651
NY.GDP.PCAP.KD,MEX,2022,10013.2479227064
NY.GDP.PCAP.KD,MEX,2021,9728.05680024504
NY.GDP.PCAP.KD,MEX,2020,9234.64362226594
NY.GDP.PCAP.KD,MEX,2019,10159.4448367696
NY.GDP.PCAP.KD,MEX,2018,10296.8690940459
NY.GDP.PCAP.KD,MEX,2017,10193.7727188313
NY.GDP.PCAP.KD,MEX,2016,10100.5021195819
NY.GDP.PCAP.KD,MEX,2015,10021.2386113616
NY.GDP.PCAP.KD,MEX,2014,9862.4812534745
NY.GDP.PCAP.KD,MEX,2013,9738.71059661101
NY.GDP.PCAP.KD,MEX,2012,9782.51776251839
NY.GDP.PCAP.KD,MEX,2011,9575.93437734618
NY.GDP.PCAP.KD,MEX,2010,9389.06722076504
NY.GDP.PCAP.KD,MEX,2009,9074.11881448129
NY.GDP.PCAP.KD,MEX,2008,9826.34218448486
NY.GDP.PCAP.KD,MEX,2007,9877.69532636562
NY.GDP.PCAP.KD,MEX,2006,9813.82804186659
NY.GDP.PCAP.KD,MEX,2005,9491.51730268004
NY.GDP.PCAP.KD,MEX,2004,9421.28976132695
NY.GDP.PCAP.KD,MEX,2003,9221.99666685464
NY.GDP.PCAP.KD,MEX,2002,9242.27886122367
NY.GDP.PCAP.KD,MEX,2001,9398.35074347946
NY.GDP.PCAP.KD,MEX,2000,9581.96970202823
NY.GDP.PCAP.KD,MEX,1999,9264.977292523
NY.GDP.PCAP.KD,MEX,1998,9161.89527775798
NY.GDP.PCAP.KD,MEX,1997,8770.8448154628
NY.GDP.PCAP.KD,MEX,1996,8320.65295687947
NY.GDP.PCAP.KD,MEX,1995,7970.64038489585
NY.GDP.PCAP.KD,MEX,1994,8623.48043000831
NY.GDP.PCAP.KD,MEX,1993,8411.79621331335
NY.GDP.PCAP.KD,MEX,1992,8330.26426795593
NY.GDP.PCAP.KD,MEX,1991,8197.01179488111
NY.GDP.PCAP.KD,MEX,1990,8036.86114405886
NY.GDP.PCAP.KD,URY,2025,19374.5158425622
NY.GDP.PCAP.KD,URY,2024,19024.1204266155
NY.GDP.PCAP.KD,URY,2023,18403.6753125157
NY.GDP.PCAP.KD,URY,2022,18249.2912168828
NY.GDP.PCAP.KD,URY,2021,17416.0052308469
NY.GDP.PCAP.KD,URY,2020,16443.363490131
NY.GDP.PCAP.KD,URY,2019,17758.4384273402
NY.GDP.PCAP.KD,URY,2018,17608.94412947
NY.GDP.PCAP.KD,URY,2017,17611.6036800874
NY.GDP.PCAP.KD,URY,2016,17357.2349992841
NY.GDP.PCAP.KD,URY,2015,17125.9016800298
NY.GDP.PCAP.KD,URY,2014,17122.0364563225
NY.GDP.PCAP.KD,URY,2013,16639.4054750651
NY.GDP.PCAP.KD,URY,2012,15949.3176985435
NY.GDP.PCAP.KD,URY,2011,15443.9961926395
NY.GDP.PCAP.KD,URY,2010,14722.3780081191
NY.GDP.PCAP.KD,URY,2009,13691.71420689
NY.GDP.PCAP.KD,URY,2008,13165.83628166
NY.GDP.PCAP.KD,URY,2007,12310.482735502
NY.GDP.PCAP.KD,URY,2006,11574.470540231
NY.GDP.PCAP.KD,URY,2005,11131.3984890038
NY.GDP.PCAP.KD,URY,2004,10366.9067382871
NY.GDP.PCAP.KD,URY,2003,9878.75684344081
NY.GDP.PCAP.KD,URY,2002,9806.7713064359
NY.GDP.PCAP.KD,URY,2001,10643.5574019273
NY.GDP.PCAP.KD,URY,2000,11096.3309569487
NY.GDP.PCAP.KD,URY,1999,11357.0866859804
NY.GDP.PCAP.KD,URY,1998,11584.9491858277
NY.GDP.PCAP.KD,URY,1997,11138.8676127212
NY.GDP.PCAP.KD,URY,1996,10316.2027570949
NY.GDP.PCAP.KD,URY,1995,9822.89680356996
NY.GDP.PCAP.KD,URY,1994,10019.3479243955
NY.GDP.PCAP.KD,URY,1993,9388.10939080161
NY.GDP.PCAP.KD,URY,1992,9193.55122074713
NY.GDP.PCAP.KD,URY,1991,8565.26927800028
NY.GDP.PCAP.KD,URY,1990,8320.3559048693
NY.GDP.PCAP.KD,USA,2025,67945.6146497427
NY.GDP.PCAP.KD,USA,2024,66856.5131698371
NY.GDP.PCAP.KD,USA,2023,65667.281580468
NY.GDP.PCAP.KD,USA,2022,64322.2332819139
NY.GDP.PCAP.KD,USA,2021,63096.7856149746
NY.GDP.PCAP.KD,USA,2020,59533.609024416
NY.GDP.PCAP.KD,USA,2019,61047.9648238812
NY.GDP.PCAP.KD,USA,2018,59817.6556798612
NY.GDP.PCAP.KD,USA,2017,58435.9707535619
NY.GDP.PCAP.KD,USA,2016,57430.8499298804
NY.GDP.PCAP.KD,USA,2015,56849.4697923159
NY.GDP.PCAP.KD,USA,2014,55665.2411187802
NY.GDP.PCAP.KD,USA,2013,54728.860179812
NY.GDP.PCAP.KD,USA,2012,54000.8410778217
NY.GDP.PCAP.KD,USA,2011,53215.5362314388
NY.GDP.PCAP.KD,USA,2010,52812.6829869279
NY.GDP.PCAP.KD,USA,2009,51863.6183416558
NY.GDP.PCAP.KD,USA,2008,53703.962897927
NY.GDP.PCAP.KD,USA,2007,54152.8292673551
NY.GDP.PCAP.KD,USA,2006,53596.315236412
NY.GDP.PCAP.KD,USA,2005,52649.5713060461
NY.GDP.PCAP.KD,USA,2004,51348.3473386025
NY.GDP.PCAP.KD,USA,2003,49905.5233080788
NY.GDP.PCAP.KD,USA,2002,48967.3661217576
NY.GDP.PCAP.KD,USA,2001,48597.4246124122
NY.GDP.PCAP.KD,USA,2000,48616.2546282435
NY.GDP.PCAP.KD,USA,1999,47234.2455290381
NY.GDP.PCAP.KD,USA,1998,45596.4306879224
NY.GDP.PCAP.KD,USA,1997,44151.6860410035
NY.GDP.PCAP.KD,USA,1996,42783.8165724095
NY.GDP.PCAP.KD,USA,1995,41710.8207256668
NY.GDP.PCAP.KD,USA,1994,41106.9881833481
NY.GDP.PCAP.KD,USA,1993,40002.4762253198
NY.GDP.PCAP.KD,USA,1992,39447.9472850606
NY.GDP.PCAP.KD,USA,1991,38637.8398179104
NY.GDP.PCAP.KD,USA,1990,39200.0658091762
NY.GDP.PCAP.KD,VNM,2025,4308.20507512834
NY.GDP.PCAP.KD,VNM,2024,4012.50779921084
NY.GDP.PCAP.KD,VNM,2023,3772.36029116103
